guid,Title,Media,Media Internet Off,Communities,Cultural Protocols,Related Items,Category,Keywords,Description,Cultural Narrative,Traditional Knowledge,Contributor,Creator,Date,Format,Identifier,Language,Publisher,Rights,Source,Subject,Sharing Protocols,Latitude,Longitude,Location Description,Traditional Licensing URL,Traditional Licensing,Standard and Creative Commons Licensing URL,Standard and Creative Commons Licensing
premiere.mukurtu.org/0010,Picture of Indians fishing at Prosser Dam (1918) [Community],3WSUMASC0012.JPG,http://share.chachaville.com/mukurtu/dh/3WSUMASC0012.JPG,Demo Community,Mukurtu Community Shares,,"Economy/Economic Development, Lands","person, fishing, picture","Photograph depicting Indians fishing at Prosser Dam, 1918.","Indians fishing at Prosser DamFishing has always been a subsistence task for Plateau people, ever since Brother Salmon gave himself to us for our well-being in the ancient times. We have annual salmon feasts to honor and give thanks to our Brother in accordance with the laws we were given by our Creator. These days it is difficult fishing because the number of salmon has been decreased by the vast number of dams in our rivers; making it difficult for Brother Salmon to perform his life-required navigation of our waters to the sea and back. Of course, there are also the expensive ongoing court battles Plateau people find necessary to keep White treaty promises valid and to get a fair share of fishing. And, there's the ongoing work by the Plateau people through the efforts of the Columbia River Intertribal Fish Commission to revive, restore, and conserve fish runs; always hoping to persuade the dams to build better ladders for the fish to climb.Vivian Adams, Yakama",,,L.V. McWhorter,1918,JPEG,3WSUMASC0012,English,"WSU Libraries, Manuscripts, Archives and Special Collections","WSU Libraries, Manuscripts, Archives and Special Collections","McWhorter Photograph Collection (PC85), Manuscripts Archives and Special Collections, Washington State University Libraries, (PC85B4F54)",,Use group defaults,,,,http://mukurtu.org/tk/xu-mg/1.0,Traditional Knowledge External Use Only-Men General (TK EU-MG),,
premiere.mukurtu.org/0011,"Picture of old Fort Spokane at Miles, WA [Public]",5WSUMASC0048.jpg,http://share.chachaville.com/mukurtu/dh/5WSUMASC0048.jpg,Demo Community,Mukurtu Community Shares,,"Architecture and Dwellings, Wars/Military/Conflict","soldier, landscape, building, picture",A photo of the grounds of Fort Spokane taken from a hillside with a dark clad man in hat in the foreground,"Our ancestors and our Elders have faced untold hardships and suffering throughout the history of Boarding Schools like Fort Spokane.  The governmental policy of Indian education was destructive to tribal society. In spite of the act of forced assimilation, we have survived by preserving our identity through Language and Culture.  It is our Language and Culture that offers a healing process to overcome the damage of Boarding Schools for this generation and those to come.","Schools    Ft. Spokane was established as a military post that became an Indian boarding school in 1899.  Indian children from Spokane, Colville, Nez Perce, and some Montana and coastal tribes were forced to live there.  It operated until 1907.  In 1914 it became a tuberculosis sanitarium that treated Spokane and Colville Indians.  When the hospital closed, it was virtually abandoned.    There are only two buildings standing at this site today.",,Hazel May House,,JPEG,5WSUMASC0048,English,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Historic Photograph Collection, PC 2 Box 14, Folder 27","Fort Spokane, Fort, Indian Reservations, Indians of North America",Use group defaults,,,,http://mukurtu.org/tk/pd-c/1.0,Traditional Knowledge Public Domain Commercial (TK PD-C),,
premiere.mukurtu.org/0012,Picture of Skitswish beaded gloves and bag (1937),1WSUMASC0011.jpg,http://share.chachaville.com/mukurtu/dh/1WSUMASC0011.jpg,Demo Community,Mukurtu Community Shares,,Artistry and Artifacts,"costume, arts, exhibition, picture",[no description],"Skitswish beaded gloves & bag from the Kateri Club, Desmet Idaho, 1937","In this image a twined root bag (commonly called a cornhusk bag, once misnamed by historians a ""Nez Perce"" bag because some noted the Nez Perces' masterful weaving and design artistry) is held by a man wearing gauntlets (a fancy name for hide beaded men's gloves).
  
 The geometric motifs on these items and on the tobacco bag or pipe bag, all refer to popular Plateau design elements and construction following traditional construction and decoration parameters. The cornhusk bags became smaller to be used as a handbag, used as a clothing accessory rather than a storage container; later joined by the popular beaded handbag.
  
 Hide thongs were usually used as bag handles, drawstrings on berry baskets, and as fringe decoration. Sometimes the number of design motifs (design repitition, shape, color) symbolized an event, or good luck to the maker. Shapes, patterns or central motifs representing something good is a commonly held belief among the Plateau people; just as a four-leaf clover symbolizes good luck to mainstream Americans.
  
 All artistry holds inherent spirituality: the personal touch of the maker, the prayers of thanks to the natural plants or animal skins for providing the materials, the mental and physical well-being of the maker to bring good health to the object's recipient; all contribute to the item's spiritual essense. These spiritual elements of construction are only decades old in becoming a part of artistic analysis by scholars who study Native Americans.
  
  Vivian Adams, Yakama",,"Dowd, Edgar",1937,JPEG,1NWMACPP0002,English,Northwest Museum of Arts and Culture,Nortwest Museum of Arts and Culture,"Edgar Dowd Collection, Northwest Museum of Arts and Culture, (L96-109.137)",,Open - accessible to all site users,47.6567,-117.447,,http://mukurtu.org/tk/mco/1.0,Traditional Knowledge Multiple Community Owned (TK MCO) Label,http://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-ShareAlike (CC BY-SA)
premiere.mukurtu.org/0013,Picture of Skitswish garments and dolls (ca. 1937) [Public],1WSUMASC0010.jpg,http://share.chachaville.com/mukurtu/dh/1WSUMASC0010.jpg,Demo Community,Mukurtu Community Shares,,Artistry and Artifacts,"costume, arts, exhibition, picture","Tribal Members hand-sewed products to be taken to the San Francisco Fair. \r\n\r\nFelix's mom, Mary Aripa (known for her beautiful beadwork and buckskin work), did a lot of dolls. In 1937, Sarah Skanen SiJohn and Margaret Mary Matt took the produced items to the fair. They also took orders from the display. They dispersed the money to the workers.","Skitswish beaded buckskin gloves, bags, belts, moccasins and small dolls from the Kateri Club, Desmet Idaho, ca. 1937",,"Felix Aripa and Marie, summary by Kim Matheson","Dowd, Edgar",1937,JPEG,1NWMACPP0001,English,Northwest Museum of Arts and Culture,"Northwest Museum of Arts and Culture, Rights held with the Coeur d'Alene Tribe","Edgar Dowd Collection, Northwest Museum of Arts and Culture, (L96-109.128)",,Use group defaults,,,,http://mukurtu.org/tk/co-c/1.0,Traditional Knowledge Community Owned Commercial (TK CO-C),http://mukurtu.org/copyright,Copyright - All rights reserved
premiere.mukurtu.org/0014,Picture of the building of the first catholic mission at Ni'lukhwalqw (ca. 1877) [Public],1WSUMASC0012.jpg,http://share.chachaville.com/mukurtu/dh/1WSUMASC0012.jpg,Demo Community,Mukurtu Community Shares,,Architecture and Dwellings,"building, mission, picture","This was the first sqheli?khw (log building) that was built after the move from Cataldo. It was built to be a temporary building until they built the church at DeSmet, ID. It is not known why it was moved to ""the hill.""      Information mentioned about ni'lukhwalqw: a(w eschint khwe'p? hndesn, pintch ep? schint [a lot of Indians had campsites, the Indians always went there].",Catholic mission at ni'lukhwalqw.This was the first sqheli?khw (log building) that was built after the move from Cataldo. It was built to be a temporary building until they built the church in the present day location of DeSmet.  c.1877,,,"Marie, Summary prepared by Kim Matheson",,jpg,1NWMACPP0003,"Snchitsu'umshtsn, English",Northwest Museum of Arts and Culture,"Rights held with the Coeur d'Alene Tribe, Northwest Museum of Arts and Culture","Northwest Museum of Arts and Culture, (L97-1.361)",,Use group defaults,,,,,Traditional Knowledge Attribution Non-Commercial (TK A-NC),http://creativecommons.org/licenses/by-nc-nd/3.0,Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)
premiere.mukurtu.org/0015,Picture of the entrance to school grounds at Chemawa (1909) [Public],pc082b2_2.jpg,http://share.chachaville.com/mukurtu/dh/pc082b2_2.jpg,Demo Community,Mukurtu Community Shares,,Architecture and Dwellings,"Test, Sync",A photograph (lantern slide) of the gated archway and fence of Chemawa Indian School.  There are students on the pathway and another opening the right gate circa 1909.,Entrance to Grounds at Chemawa,,,Edwin Chalcraft,1909,jpg,0WSUMASC0049,English,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections","Chalcraft-Pickering Photographs, (PC 82) Manuscripts, Archives and Special Collections, Washington State University (PC82 B2 F2)","Indians of North America, Indian Boarding Schools",Use group defaults,,,,http://mukurtu.org/tk/a/1.0,Traditional Knowledge Attribution (TK A),http://creativecommons.org/licenses/by-sa/3.0,Creative Commons Attribution-ShareAlike (CC BY-SA)
premiere.mukurtu.org/0016,Picture of two Yakima warriors on horseback  (1911) [Community],3WSUMASC0011.jpg,http://share.chachaville.com/mukurtu/dh/3WSUMASC0011.jpg,Demo Community,Mukurtu Community Shares,,Architecture and Dwellings,"Test, Sync","Photograph of two Yakama warriors on horseback, one identified as Willie John, circa 1911.","Two Yakima warriors on horseback (under trees), one identified as Willie JohnMany of the ""weapons"" displayed were commonly used for hunting or fishing. Plateau people were not a warring nation, but rather bands and tribes lived autonomously following their ancient gathering paths. Notice the similar appearance of the horses, a breed of great stamina favored by the Plateau people. It may be the breed the Umatillas are attempting to revive.",,,L.V. McWhorter,1911,JPEG,3WSUMASC0011,English,"WSU Libraries, Manuscripts, Archives and Special Collections","WSU Libraries, Manuscripts, Archives and Special Collections","McWhorter Photograph Collection (PC85), Manuscripts Archives and Special Collections, Washington State University Libraries, (PC85B5F49_1)",,Use group defaults,,,,http://mukurtu.org/tk/xo-c/1.0,Traditional Knowledge Externally Owned Commercial (TK EO-C),http://mukurtu.org/copyright,Copyright - All rights reserved
premiere.mukurtu.org/0017,Picture of Umatilla warriors mounted on horses (ca. 1900) [Strict Community],2NAAPPPP0002.jpg,http://share.chachaville.com/mukurtu/dh/2NAAPPPP0002.jpg,Demo Community,Mukurtu Community Shares,,Architecture and Dwellings,"Test, Sync","[Warriors mounted on horses] ca. 1900. Link to the National Anthropological Archives, Smithsonian Institution.\r\n\r\nwww.nmnh.si.edu/naa/","[Warriors mounted on horses] ca. 1900. Two unidentified tribal members of the Confederated Tribes of the Umatilla Indian Reservation dressed in there regalia ready to parade during the 4th of July at the July grounds in Mission Oregon. The man on the left has a stove pipe bonnet, and the man on the right has eagle staff that is common for the CTUIR tribal members. They are both riding a Cayuse horses that the CTUIR has had since 1730's.",,,"Moorhouse, Lee Major",1900,JPEG,2NAAPPPP0002,English,"National Anthropological Archives, Smithsonian Institution.","National Anthropological Archives, Smithsonian Institution.","Glass Negatives of Indians, (Collected by the Bureau of American Ethnology) 1850s-1930s, National Anthropological Archives (BAE GN 2890 B35)",,Use group defaults,,,,http://mukurtu.org/tk/xu-mr/1.0,Traditional Knowledge External Use Only-Men Restricted (TK EU-MR),http://creativecommons.org/licenses/by-nc-nd/3.0,Creative Commons Attribution-NonCommercial-NoDerivs (CC BY-NC-ND)
premiere.mukurtu.org/0018,Picture of Yakama man (Louis Mann) and his dry flume (1915) [Community],3WSUMASC0008.jpg,http://share.chachaville.com/mukurtu/dh/3WSUMASC0008.jpg,Demo Community,Mukurtu Community Shares,,Architecture and Dwellings,"Test, Sync","Photograph of Louis Mann and his dry water flume, 1915.","Louis Mann and his dry flume. Even though Mr. Mann and his fellow Indian farmers tried to live by the laws made by white men for white men; they were troubled by lack of water, theft, and trustee neglegence. At every turn they were being robbed: of their water, their livestock, their lands. And yet, any complaint to the government was never resolved. Indian landowners who became farmers and ranchers had very difficult times when overcome with issues that were neglected, ignored or given advice clearly supportive of the white landowner. Mr. Mann even stated that before, under the watchful care of James H. Wilbur, times were better and the Indian better protected from government corruption and white man greed.It was difficult to understand why there was one way to treat the white man and another way to treat the Indians. Had their leaders not spoken straight words at the treaty negotiations. Didn't both the white man and the Indian agree to live on good terms with each other? Why then did the white man say one thing and do the opposite? Why were the white man's laws good for the white man but bad for the Indian? Why couldn't the white man keep his word? Were his words empty and would the future of Indian children lie in the path of continued mistreatment and lies by the Great White Father? The double standard of the government's laws when it came to justice for the Indians was birthed many years in the eastern part of these United States, and I am sorry to say, continues to this day. But Indian people are quiet and they tend to suffer quietly and attempt to mend torn words as best they can by sending their learned warriors into the white man's courts to battle for our treaty rights. How and will this double standard ever be resolved; the double standard of treatment between the government and Indian? When will justice in the U.S. truly be balanced, and served with straight, heart felt words and deeds by the white man like Governor Stevens promised at the treaty talks? Vivian M. Adams, Yakama",,,L.V. McWhorter,1915,jpg,3WSUMASC0008,English,"WSU Libraries, Manuscripts, Archives and Special Collections","WSU Libraries, Manuscripts, Archives and Special Collections","McWhorter Photograph Collection (PC85), Manuscripts Archives and Special Collections, Washington State University Libraries, (PC85B4_1F65_12)",,Use group defaults,,,,http://mukurtu.org/tk/cu/1.0,Traditional Knowledge Community Use Only (TK CU),,
premiere.mukurtu.org/0019,Picture of Yakima Hunter in the Tieton Canyon - 1 (1923) [Strict Community],3WSUMASC0018.jpg,http://share.chachaville.com/mukurtu/dh/3WSUMASC0018.jpg,Demo Community,Mukurtu Community Shares,,Architecture and Dwellings,"Test, Sync",desc2,,,,L.V. McWhorter,1923,JPEG,3WSUMASC0018,English,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections",PC85B4F47,,Use group defaults,,,,http://mukurtu.org/tk/xu-mg/1.0,Traditional Knowledge External Use Only-Men General (TK EU-MG),http://mukurtu.org/copyright,Copyright - All rights reserved
premiere.mukurtu.org/0020,Picture of Yakima Hunter in the Tieton Canyon - 2 (1923) [Strict Community],3WSUMASC0019.jpg,http://share.chachaville.com/mukurtu/dh/3WSUMASC0019.jpg,Demo Community,Mukurtu Community Shares,,Architecture and Dwellings,"Test, Sync",desc2,"This looks to be a ""western posed"" image.  I don't recognize the man's hairdo as Plateau, but it could have been a popular do.  Vivian Adams, Yakama","Veterans/Warriors    Indian men and women, the indigenous people of these lands called the United States, have always protected the lands upon which our ancestors used and are laid to rest; that is where our patriotism is dedicated.    They fought with American military in WWI even though we had not yet been considered civilized enough to become U.S. citizens.    Many of the Plateau tribes and bands never sought wars and were relatively a peaceful culture living atonoumously in small villages led by headmen and headwomen.      The usual horse stealing, or stealing people as slaves was common among some tribes, but not so common within the Plateau people.  Guns were introduced in trade with fur trappers and later the military general stores as well as service in the early U.S. military.  Hunters began to use the weapons to kill deer, elk and other food animals but seldom used the guns against one another.    Only until it was thought that Indians were being lied to about the encroachment of the white settlers taking over their seasonal gathering grounds, keeping the lands as their own; as well as bringing in new diseases which killed off many of the village populations, did the Indians decide a violent solution was the only recourse.    Warrior societies today are proud of their military service and march proudly and many social and ceremonial tribal events.  We are all thankful for their protection of the lands we have left and our ancestors buried here.  Vivian Adams, Yakama    Protests    The American Indian Movement is most remembered by the whiteman's history.  Not all Indian people looked upon AIM's activities with favor.  Their protests did bring to the forefront the neglect, mismanagement, and injusticies heaped upon Indian people since treaty times by our ""caretakers in trust..."" injustices quickly forgoteen by mainstream America.     The short, violent Plateau conflicts called ""wars"" by whiteman's history were either misunderstandings, events of ignorance or usually just a chance to kill another Indian to get them out of the way of the whiteman's progress.    Protests for harvesting salmon, for water use, and encroachment upon sacred lands are on-going; treaty rights often neglected or ignored.   Vivian Adams, Yakama    Volunteer Malitia    Some Indians joined the U.S. Army as militia members, hunting down other tribal individuals.  Many farmers and ranchers made their own malitia supposedly dedicated to bring law breakers to justice.  Most of the time, it was just more chances to kill Indians to get them out of the way of whiteman's progress and greed for lands and the natural resources.  Vivian Adams, Yakama    U.S.-Indian Wars    The short, violent Plateau conflicts called ""wars"" by whiteman's history were either misunderstandings, events of ignorance or usually just a chance to kill another Indian to get them out of the way of the whiteman's progress.    National Wars    Indian men and women, the indigenous people of these lands called the United States, have always protected the lands upon which our ancestors used and are laid to rest; that is where our patriotism is dedicated.    They fought with American military in WWI even though we had not yet been considered civilized enough to become U.S. citizens.  Indian people still join the U.S. military services in times of need.  Everyone is familiar with the Navajo Code Talkers and how they helped win over a war with their language.  Indians have always dedicated their lives to the safety of these lands in the U.S. since assimilation.  Vivian Adams, Yakama    inter-tribal conflict    Conflict and disagreements among tribes was common.  Theft, intruding upon historical and accustomed land sites was considered trespassing.    Protection of people, usual places and resources is natural in every society and was practiced by all tribes.  There were some people who were viscious just to intimidate, but here in the Columbia River Plateau, almost all of the tribes and bands shared.    Military conflict is best remembered by the Nez Perce, the Palouse and the Cayuse people who have always been known as warriors.  Vivian Adams, Yakama",,L.V. McWhorter,1923,JPEG,3WSUMASC0019,English,"Washington State University Libraries, Manuscripts, Archives and Special Collections","Washington State University Libraries, Manuscripts, Archives and Special Collections",PC85B4F47,,Use group defaults,,,,http://mukurtu.org/tk/xu-mg/1.0,Traditional Knowledge External Use Only-Men General (TK EU-MG),http://mukurtu.org/copyright,Copyright - All rights reserved
