Field name,Field type,Help text,Required,Changes,Multi-item,Changes,Indicate versioning **,Mukurtu Core,Standard,MARC Equivalent to Unqualified/Qualified DC,EAD Equivalent (for our purposes these should be EAD <archdesc> elements),In Create DH view,Tab,Tab Label (for Kim),In Node view,In Browse list view,Standard Install,In Features (specify which)
Latitude,Geofield,Enter latitude and longitude values. Look up latitude and longitude values.,,,no,,,,UQ  coverage/  QUAL,,,yes,Standard,,map,no,yes,
Longitude,,,,,,,,,,500$a (General note) / Spatial: 522 ##$a (Geographic Coverage Note),<odd>,,,,,no,yes,
Location Description,Long text,,,,no,,yes,,UQ  description,"520 ##$a (Summary, etc. note)",<scopecontent> <abstract>,yes,Standard,,yes,no,yes,
Publisher,Term reference,(DC Publisher field) The entity responsible for making the resource available.,,,yes,,,,UnQual DC,"260 ##$b (Publication, Distribution, etc. (Imprint)/Name of publisher, distributor, etc.)",<repository>,yes,Standard,,yes,no,yes,
Rights,Long text,(DC Rights field) Who holds the rights to the content and who should be contacted for permission to reproduce the content.,,,no,,yes,,UnQual DC,540 ##$a (Terms Governing Use and Reproduction Note),<userestrict>,yes,Standard,,yes,no,yes,
Source,Text,"(DC Source field) Reference to a resource from which the present content is derived, for example “McWhorter collection”",,,no,,,,UnQual DC,786 0#$n (Data Source Entry/Note),N/A,yes,Standard,,yes,no,yes,
Subject,Term reference,"(DC Subject field) The topic of the content of the resource. Typically, a Subject will be expressed as keywords or key phrases or classification codes that describe the topic of the resource. Library Of Congress Subject headings are one standard and recognized option you may want to use.",,,yes,,,,UnQual DC,653 ##$a (Index Term--Uncontrolled),N/A,yes,Standard,,yes,no,yes,
Relation,Node reference,(DC Relation field) A reference to a related resource.,,,yes,,,,UnQual DC,787 0#$n (Nonspecific Relationship Entry/Note),N/A,yes,Standard,,yes,no,yes,
Traditional Knowledge,Long text,Use this field to provide traditional knowledge about this piece of content. You can add traditional knowledge to your content as you see fit. This field is an open field to provide you with maximum flexibility to express your knowledge in the most appropriate form. Go to wiki page.,,,no,,yes,,,"this is where there are philosophical differences Greg and I feel these are more like ""heritage objects"" them selves and might more appropriately have relations not attachment to particular items -- alot like we talked about but we are still discussing",EAD is not good for this sort of individual description (although people use it as though it was).  I am sorry if my big mouth got us into this EAD mess.,yes,TK,,yes,no,yes,
Traditional Licensing,List (text),Select the license you want to apply to your content. Find out more about TK Licenses on our wiki.,,,no,,,,,"Licensing as ""traditional"" metadata -- this kind of licensing is very close to ""Access Rights"" or Terms Governing Use that could map to DC and MARC (?)",,yes,Licensing,,yes,no,yes,
Standard and Creative Commons Licensing,List (text),Select the license you want to apply to your content. Find out more about Creative Commons Licenses.,,,no,,,,,,,yes,Licensing,,yes,no,yes,
,,,,,,,,,,,,,,,,,,
,,,,,,,** Future feature. Drupal has revision control by node.,,,Items in blue::  My own mapping/folly/description…….,items in this color are mapped to EAD through MARC and my own folly,,,,,,,
,,,,,,,,,,  Items in Red::: straight from  http://www.loc.gov/marc/dccross.html,mapped straight from DC to EAD:::http://www.loc.gov/ead/ag/agappb.html#sec3,,,,,,,
